year,round_number,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,points_scored
2024,6,verstappen,red_bull_racing,miami,1,0.0,-0.2189999999999941,102.0,181.0,17.0,1,0,1
2024,6,leclerc,ferrari,miami,2,0.14100000000000534,-0.07299999999999329,71.0,142.0,14.333333333333334,1,0,1
2024,6,perez,red_bull_racing,miami,4,0.2189999999999941,0.2189999999999941,79.0,199.0,14.333333333333334,1,0,1
2024,6,sainz,ferrari,miami,3,0.21399999999999864,0.07299999999999329,65.0,157.0,16.666666666666668,1,0,1
2024,6,hamilton,mercedes,miami,8,0.45600000000000307,-0.36999999999999034,12.0,44.0,1.3333333333333333,1,0,1
2024,6,tsunoda,rb,miami,10,0.9260000000000019,-0.45000000000000284,7.0,7.0,2.3333333333333335,1,0,1
2024,6,russell,mercedes,miami,7,0.8259999999999934,0.36999999999999034,32.0,52.0,4.666666666666667,1,0,1
2024,6,alonso,aston_martin,miami,15,1.186000000000007,0.25,31.0,40.0,6.333333333333333,1,0,1
2024,6,ocon,alpine,miami,13,0.9680000000000035,0.2330000000000041,0.0,0.0,0.0,1,0,1
2024,6,hulkenberg,haas_f1_team,miami,9,0.9050000000000011,-0.472999999999999,4.0,5.0,1.0,1,0,0
2024,6,gasly,alpine,miami,12,0.7349999999999994,-0.2330000000000041,0.0,1.0,0.0,1,0,0
2024,6,piastri,mclaren,miami,6,0.4339999999999975,0.08100000000000307,36.0,116.0,6.666666666666667,1,0,0
2024,6,zhou,kick_sauber,miami,20,1.5829999999999984,0.3610000000000042,0.0,0.0,0.0,1,0,0
2024,6,ricciardo,rb,miami,18,1.3760000000000048,0.45000000000000284,0.0,13.0,0.0,1,0,0
2024,6,bottas,kick_sauber,miami,16,1.2219999999999942,-0.3610000000000042,0.0,0.0,0.0,1,0,0
2024,6,stroll,aston_martin,miami,11,0.936000000000007,-0.25,9.0,42.0,2.6666666666666665,1,0,0
2024,6,albon,williams,miami,14,1.1020000000000039,-0.14399999999999125,0.0,0.0,0.0,1,0,0
2024,6,magnussen,haas_f1_team,miami,19,1.3780000000000001,0.472999999999999,1.0,5.0,0.3333333333333333,1,0,0
2024,6,sargeant,williams,miami,17,1.2459999999999951,0.14399999999999125,0.0,0.0,0.0,1,0,0
2024,7,verstappen,red_bull_racing,imola,1,0.0,-0.960000000000008,120.0,211.0,23.0,0,0,1
2024,7,norris,mclaren,imola,3,0.09100000000000819,0.017000000000010118,80.0,116.0,17.666666666666668,0,0,1
2024,7,leclerc,ferrari,imola,4,0.22400000000000375,-0.26300000000000523,86.0,167.0,13.0,0,0,1
2024,7,piastri,mclaren,imola,2,0.07399999999999807,-0.017000000000010118,36.0,134.0,2.6666666666666665,0,0,1
2024,7,sainz,ferrari,imola,5,0.487000000000009,0.26300000000000523,75.0,182.0,11.666666666666666,0,0,1
2024,7,hamilton,mercedes,imola,8,0.7580000000000098,0.27000000000001023,20.0,56.0,4.0,0,0,1
2024,7,russell,mercedes,imola,6,0.48799999999999955,-0.27000000000001023,36.0,64.0,6.0,0,0,1
2024,7,perez,red_bull_racing,imola,11,0.960000000000008,0.960000000000008,91.0,236.0,15.0,0,0,1
2024,7,stroll,aston_martin,imola,13,1.2460000000000093,-0.9249999999999972,9.0,42.0,0.0,0,0,1
2024,7,tsunoda,rb,imola,7,0.612000000000009,-0.3160000000000025,13.0,13.0,2.3333333333333335,0,0,1
2024,7,hulkenberg,haas_f1_team,imola,10,0.8230000000000075,-1.2849999999999966,4.0,5.0,0.3333333333333333,0,0,0
2024,7,magnussen,haas_f1_team,imola,18,2.108000000000004,1.2849999999999966,1.0,5.0,0.0,0,0,0
2024,7,ricciardo,rb,imola,9,0.9280000000000115,0.3160000000000025,0.0,14.0,0.0,0,0,0
2024,7,ocon,alpine,imola,12,1.1600000000000108,-0.10899999999999466,1.0,1.0,0.3333333333333333,0,0,0
