year,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,points_scored
2022,russell,mercedes,zandvoort,6,0.4819999999999993,0.1760000000000019,165.0,310.0,14.0,0,0,1
2023,magnussen,haas_f1_team,barcelona,17,1.769999999999996,0.8130000000000024,23.0,41.0,0.3333333333333333,0,0,0
2024,sargeant,williams,sakhir,18,1.6049999999999898,0.5489999999999924,1.0,34.0,0.0,0,0,0
2024,hulkenberg,haas_f1_team,monaco,14,1.1700000000000017,-0.2849999999999966,10.0,47.0,0.3333333333333333,1,0,0
2023,perez,red_bull_racing,yas_island,9,0.4230000000000018,0.4230000000000018,539.0,1502.0,9.0,0,0,1
2022,russell,mercedes,budapest,1,0.0,-0.6580000000000013,138.0,283.0,9.0,0,1,1
2022,vettel,aston_martin,melbourne,18,3.281000000000006,-25.684,0.0,0.0,0.0,1,0,0
2024,perez,red_bull_racing,budapest,16,2.658999999999992,2.6129999999999995,656.0,1860.0,3.333333333333333,0,0,1
2025,gasly,alpine,austin,14,1.0889999999999986,-0.4399999999999977,136.0,362.0,0.0,0,0,0
2022,schumacher,haas_f1_team,budapest,15,1.787000000000006,0.3389999999999986,12.0,31.0,4.0,0,1,0
2022,zhou,alfa_romeo,monaco,20,4.22999999999999,2.6969999999999885,1.0,39.0,0.0,1,1,0
2024,verstappen,red_bull_racing,mexico_city,2,0.2250000000000085,-1.4399999999999975,1285.0,1973.0,14.333333333333334,0,0,1
2022,bottas,alfa_romeo,austin,10,1.963000000000008,0.1230000000000046,44.0,50.0,0.0,0,0,0
2025,tsunoda,red_bull_racing,spa_francorchamps,7,0.6830000000000069,0.3419999999999987,59.0,2226.0,0.0,0,1,0
2023,perez,red_bull_racing,las_vegas,12,1.1290000000000049,0.7510000000000048,524.0,1461.0,8.0,1,0,1
2022,zhou,alfa_romeo,budapest,12,1.195999999999998,0.4159999999999968,5.0,49.0,0.0,0,1,0
2024,leclerc,ferrari,mexico_city,4,0.3190000000000026,0.3190000000000026,732.0,1365.0,17.666666666666668,0,0,1
2024,hulkenberg,haas_f1_team,yas_island,4,0.2909999999999968,-0.7460000000000093,38.0,89.0,1.3333333333333333,0,0,1
2025,russell,mercedes,monaco,14,1.5530000000000117,-0.3729999999999904,734.0,1435.0,10.333333333333334,1,0,0
2022,alonso,alpine,sakhir,8,1.0629999999999882,-0.1610000000000013,0.0,6.0,0.0,0,0,1
2025,hadjar,racing_bulls,sakhir,12,1.4300000000000068,-0.8940000000000055,4.0,4.0,1.3333333333333333,0,0,0
2025,sainz,williams,mexico_city,7,0.5859999999999985,-1.3179999999999978,697.0,150.0,5.333333333333333,0,0,0
2023,ocon,alpine,lusail,8,0.9849999999999994,0.2100000000000079,125.0,246.0,0.6666666666666666,0,0,1
2023,sainz,ferrari,marina_bay,1,0.0,-0.0790000000000077,330.0,721.0,8.333333333333334,1,0,1
2024,perez,red_bull_racing,melbourne,3,0.3589999999999946,0.3589999999999946,587.0,1601.0,16.0,1,0,1
2025,norris,mclaren,monza,2,0.0769999999999981,-0.1129999999999995,904.0,1573.0,14.333333333333334,0,0,1
2025,russell,mercedes,montr_al,1,0.0,-0.4920000000000044,746.0,1447.0,6.0,0,1,1
2025,antonelli,mercedes,silverstone,7,0.4819999999999993,0.3449999999999988,59.0,1498.0,5.0,0,1,0
2025,sainz,williams,marina_bay,20,1.0769999999999982,0.0330000000000012,696.0,149.0,5.0,1,1,1
2025,leclerc,ferrari,budapest,1,0.4819999999999993,-0.3299999999999983,933.0,1702.0,10.0,0,0,1
2024,alonso,aston_martin,silverstone,10,0.9110000000000014,0.1450000000000102,320.0,385.0,2.6666666666666665,0,1,1
2024,zhou,kick_sauber,shanghai,16,1.8449999999999989,0.8399999999999892,12.0,0.0,0.0,0,0,0
2024,perez,red_bull_racing,suzuka,2,0.0660000000000025,0.0660000000000025,597.0,1637.0,15.333333333333334,0,0,1
2024,zhou,kick_sauber,spielberg,20,1.747000000000014,0.2140000000000128,12.0,0.0,0.0,0,1,0
2025,bearman,haas_f1_team,lusail,13,1.051000000000002,-0.4260000000000019,46.0,160.0,7.0,0,0,0
2024,norris,mclaren,marina_bay,1,0.0,-0.1149999999999948,545.0,871.0,18.33333333333333,1,0,1
2025,colapinto,alpine,imola,15,1.5859999999999983,0.7510000000000048,5.0,349.0,0.0,0,0,0
2025,hulkenberg,kick_sauber,suzuka,16,1.586999999999989,-0.0520000000000067,48.0,10.0,3.333333333333333,0,0,0
2022,schumacher,haas_f1_team,yas_island,13,1.4009999999999962,-0.6090000000000089,12.0,33.0,0.0,0,0,0
2025,gasly,alpine,spielberg,10,0.8750000000000071,-0.4320000000000021,127.0,353.0,1.3333333333333333,0,0,0
2025,norris,mclaren,budapest,3,0.0,-0.0510000000000019,879.0,1505.0,22.666666666666668,0,0,1
2024,sargeant,williams,silverstone,12,1.3559999999999943,0.5349999999999966,1.0,38.0,0.0,0,1,0
2022,ocon,alpine,yas_island,8,1.0060000000000002,-0.2660000000000053,83.0,164.0,2.6666666666666665,0,0,1
2022,hamilton,mercedes,marina_bay,3,0.0539999999999878,-4.546000000000007,167.0,365.0,7.333333333333333,1,1,1
2022,perez,red_bull_racing,barcelona,5,0.6700000000000017,0.3470000000000084,60.0,162.0,16.0,0,0,1
2023,hamilton,mercedes,s_o_paulo,5,0.2450000000000045,-0.0499999999999971,438.0,838.0,6.333333333333333,0,1,1
