year,round_number,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,race_time
2018,5,vettel,ferrari,barcelona,3,0.132000000000005,-0.30699999999998795,66.0,114.0,13.666666666666666,0,1,27.584
2018,5,ricciardo,red_bull_racing,barcelona,6,0.644999999999996,0.001999999999995339,37.0,70.0,8.333333333333334,0,1,50.058
2018,5,magnussen,haas_f1_team,barcelona,7,1.4449999999999932,-0.08100000000000307,11.0,11.0,3.6666666666666665,0,1,
2018,5,sainz,renault,barcelona,9,1.6170000000000044,-1.1329999999999956,13.0,35.0,4.0,0,1,
2018,5,alonso,mclaren,barcelona,8,1.5480000000000018,-0.6019999999999897,28.0,36.0,6.0,0,1,
2018,5,perez,force_india,barcelona,15,2.566999999999993,0.04399999999999693,15.0,16.0,5.0,0,1,
2018,5,leclerc,sauber,barcelona,14,2.4879999999999995,-0.8319999999999936,8.0,10.0,2.6666666666666665,0,1,
2018,5,stroll,williams,barcelona,19,4.0519999999999925,0.5300000000000011,4.0,4.0,1.3333333333333333,0,1,
2018,5,hartley,toro_rosso,barcelona,20,1.8356328502415453,0.0,1.0,13.0,0.3333333333333333,0,1,
2018,5,ericsson,sauber,barcelona,17,3.319999999999993,0.8319999999999936,2.0,11.0,0.6666666666666666,0,1,
2018,5,sirotkin,williams,barcelona,18,3.5219999999999914,-0.5300000000000011,0.0,4.0,0.0,0,1,
2018,5,vandoorne,mclaren,barcelona,11,2.1499999999999915,0.6019999999999897,8.0,40.0,2.0,0,1,
2018,5,ocon,force_india,barcelona,13,2.522999999999996,-0.04399999999999693,1.0,18.0,0.3333333333333333,0,1,
2018,5,r_ikk_nen,ferrari,barcelona,4,0.43899999999999295,0.30699999999998795,48.0,126.0,11.0,0,1,
2018,5,grosjean,haas_f1_team,barcelona,10,1.5259999999999962,0.08100000000000307,0.0,19.0,0.0,0,1,
2018,5,gasly,toro_rosso,barcelona,12,2.289999999999992,0.0,12.0,13.0,4.0,0,1,
2018,5,hulkenberg,renault,barcelona,16,2.75,1.1329999999999956,22.0,41.0,5.333333333333333,0,1,
2018,6,ricciardo,red_bull_racing,monte_carlo,1,0.0,0.0,47.0,80.0,11.666666666666666,1,1,6174.807
2018,6,vettel,ferrari,monte_carlo,2,0.2289999999999992,-0.22700000000000387,78.0,126.0,9.333333333333334,1,1,7.336
2018,6,hamilton,mercedes,monte_carlo,3,0.42199999999999704,-0.20900000000000318,95.0,153.0,20.666666666666668,1,1,17.013
