year,round,event,driver,team,quali_position,avg_race_lap_time_s,lap_delta_vs_event_mean_s,finish_position,points_awarded,prev_points_total,rolling_points_last3,driver_points_per_race,team_prev_points_total,team_points_per_race,scored_points
2020,5,70th Anniversary Grand Prix,HUL,Racing Point,3.0,91.85508333333333,-0.4228033769063302,7.0,6.0,0.0,0.0,0.0,50.0,5.555555555555555,1
2020,5,70th Anniversary Grand Prix,OCO,Renault,11.0,92.61940816326532,0.3415214530256634,8.0,4.0,12.0,8.0,3.0,32.0,4.0,1
2020,5,70th Anniversary Grand Prix,NOR,McLaren,10.0,92.27428571428571,-0.003600995953945585,9.0,2.0,36.0,20.0,9.0,51.0,6.375,1
2020,5,70th Anniversary Grand Prix,KVY,AlphaTauri,16.0,92.21808510638296,-0.05980160385669819,10.0,1.0,1.0,1.0,0.25,13.0,1.625,1
2020,5,70th Anniversary Grand Prix,GAS,AlphaTauri,7.0,92.3401875,0.06230078976034292,11.0,0.0,12.0,6.0,3.0,14.0,1.5555555555555556,0
2020,5,70th Anniversary Grand Prix,VET,Ferrari,12.0,92.08336363636364,-0.1945230738760131,12.0,0.0,10.0,9.0,2.5,55.0,6.111111111111111,0
2020,5,70th Anniversary Grand Prix,SAI,McLaren,13.0,92.2915625,0.013675789760341672,13.0,0.0,15.0,5.0,3.75,53.0,5.888888888888889,0
2020,5,70th Anniversary Grand Prix,RIC,Renault,5.0,92.49245652173913,0.21456981149947296,14.0,0.0,20.0,20.0,5.0,36.0,4.0,0
2020,5,70th Anniversary Grand Prix,RAI,Alfa Romeo Racing,20.0,93.27068292682925,0.9927962165895963,15.0,0.0,0.0,0.0,0.0,2.0,0.25,0
2020,5,70th Anniversary Grand Prix,GRO,Haas F1 Team,14.0,92.99913636363637,0.7212496533967112,16.0,0.0,0.0,0.0,0.0,1.0,0.125,0
2020,5,70th Anniversary Grand Prix,GIO,Alfa Romeo Racing,19.0,93.27411363636362,0.9962269261239669,17.0,0.0,2.0,0.0,0.5,2.0,0.2222222222222222,0
2020,5,70th Anniversary Grand Prix,RUS,Williams,15.0,92.83972093023256,0.5618342199929032,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,5,70th Anniversary Grand Prix,LAT,Williams,18.0,92.81254761904762,0.5346609088079646,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,5,70th Anniversary Grand Prix,MAG,Haas F1 Team,17.0,93.33482758620688,1.0569408759672285,20.0,0.0,1.0,1.0,0.25,1.0,0.1111111111111111,0
2020,6,Spanish Grand Prix,HAM,Mercedes,1.0,82.258875,-0.5470553621169785,1.0,25.0,107.0,70.0,21.4,180.0,18.0,1
2020,6,Spanish Grand Prix,VER,Red Bull Racing,3.0,82.65937777777779,-0.14655258433919016,2.0,18.0,77.0,62.0,15.4,113.0,11.3,1
2020,6,Spanish Grand Prix,BOT,Mercedes,2.0,82.4807,-0.325230362116983,3.0,16.0,73.0,30.0,14.6,205.0,18.636363636363637,1
2020,6,Spanish Grand Prix,STR,Racing Point,5.0,82.87266666666666,0.0667363045496785,4.0,12.0,28.0,22.0,5.6,56.0,5.6,1
2020,6,Spanish Grand Prix,PER,Racing Point,4.0,83.02953846153846,0.22360809942148308,5.0,10.0,22.0,22.0,7.333333333333333,68.0,6.181818181818182,1
2020,6,Spanish Grand Prix,SAI,McLaren,7.0,82.92704761904763,0.12111725693064557,6.0,8.0,15.0,2.0,3.0,53.0,5.3,1
2020,6,Spanish Grand Prix,VET,Ferrari,11.0,83.36219999999999,0.5562696378830054,7.0,6.0,10.0,9.0,2.0,55.0,5.5,1
2020,6,Spanish Grand Prix,ALB,Red Bull Racing,6.0,83.13129411764706,0.325363755530077,8.0,4.0,36.0,24.0,7.2,131.0,11.909090909090908,1
2020,6,Spanish Grand Prix,GAS,AlphaTauri,10.0,83.17035294117647,0.36442257905949305,9.0,2.0,12.0,6.0,2.4,14.0,1.4,1
2020,6,Spanish Grand Prix,NOR,McLaren,8.0,83.2186111111111,0.41268074899412,10.0,1.0,38.0,12.0,7.6,61.0,5.545454545454546,1
2020,6,Spanish Grand Prix,RIC,Renault,13.0,82.89926666666666,0.09333630454968045,11.0,0.0,20.0,16.0,4.0,36.0,3.6,0
2020,6,Spanish Grand Prix,KVY,AlphaTauri,12.0,82.97361111111111,0.16768074899412966,12.0,0.0,2.0,1.0,0.4,16.0,1.4545454545454546,0
2020,6,Spanish Grand Prix,OCO,Renault,15.0,83.02266666666667,0.21673630454968418,13.0,0.0,16.0,12.0,3.2,36.0,3.272727272727273,0
2020,6,Spanish Grand Prix,RAI,Alfa Romeo Racing,14.0,82.838,0.03206963788301209,14.0,0.0,0.0,0.0,0.0,2.0,0.2,0
2020,6,Spanish Grand Prix,MAG,Haas F1 Team,16.0,83.474,0.668069637883022,15.0,0.0,1.0,1.0,0.2,1.0,0.1,0
2020,6,Spanish Grand Prix,GIO,Alfa Romeo Racing,20.0,82.98744444444445,0.18151408232746746,16.0,0.0,2.0,0.0,0.4,2.0,0.18181818181818182,0
2020,6,Spanish Grand Prix,RUS,Williams,18.0,83.07866666666666,0.27273630454968156,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,6,Spanish Grand Prix,LAT,Williams,19.0,82.81733333333334,0.011402971216355695,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,6,Spanish Grand Prix,GRO,Haas F1 Team,17.0,83.05,0.2440696378830154,19.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0
2020,6,Spanish Grand Prix,LEC,Ferrari,9.0,89.66155347878662,0.09844461402451214,20.0,0.0,45.0,27.0,9.0,61.0,5.545454545454546,0
2020,7,Belgian Grand Prix,HAM,Mercedes,1.0,109.02305000000001,-1.473163213213212,1.0,25.0,132.0,69.0,22.0,221.0,18.416666666666668,1
2020,7,Belgian Grand Prix,BOT,Mercedes,2.0,109.27404999999999,-1.2221632132132356,2.0,18.0,89.0,31.0,14.833333333333334,246.0,18.923076923076923,1
